317,157,31,62
317,157,31,62
317,157,31,62
317,157,31,62
317,157,31,62
317,157,31,62
315,157,31,62
314,157,31,62
312,157,31,62
311,157,31,62
310,157,31,62
307,156,32,62
305,156,33,62
302,156,35,62
300,156,36,62
298,156,37,62
294,155,37,62
291,155,37,62
287,155,37,62
284,155,37,62
281,155,37,62
277,155,37,62
274,156,37,62
270,157,37,62
267,158,37,62
264,159,37,62
259,160,37,62
254,162,37,62
249,163,37,62
244,165,37,62
240,167,37,62
238,167,37,62
236,167,37,62
234,167,37,62
232,167,37,62
230,167,37,62
231,167,37,62
232,167,37,62
233,167,37,62
234,167,37,62
235,167,37,62
238,167,37,62
242,168,37,62
245,168,37,62
249,169,37,62
253,170,37,62
254,168,37,62
255,167,37,62
257,165,37,62
258,164,37,62
260,163,37,62
260,165,37,62
260,167,37,62
260,169,37,62
260,171,37,62
261,174,37,62
262,174,37,62
263,175,37,62
264,175,37,62
265,176,37,62
267,177,37,62
267,179,37,62
268,182,37,62
268,185,37,62
269,188,37,62
270,191,37,62
273,191,37,62
276,191,37,62
280,191,37,62
283,191,37,62
287,191,37,62
291,195,37,62
295,199,37,62
299,203,37,62
303,207,37,62
307,211,37,62
309,216,37,62
311,221,37,62
314,226,37,62
316,231,37,62
319,237,37,62
320,237,37,62
321,237,37,62
322,237,37,62
323,237,37,62
324,237,37,62
322,234,37,62
321,231,37,62
320,228,37,62
319,225,37,62
318,222,37,62
317,222,37,62
316,223,37,62
315,224,37,62
314,225,37,62
314,226,37,62
311,227,37,62
308,229,37,62
306,231,37,62
303,233,37,62
301,235,37,62
298,235,37,62
295,236,37,62
292,237,37,62
289,238,37,62
286,239,37,62
0,0,0,0
0,0,0,0
